geo,year,part_time
DE90,2021,1135724.0
DE90,2022,1170271.0
DE90,2023,1210613.0
DEA0,2008,2086510.0
DEA0,2009,2086775.0
DEA0,2010,1972685.0
DEA0,2011,2071196.0
DEA0,2012,2056231.0
DEA0,2013,2134897.0
DEA0,2014,2156392.0
DEA0,2015,2235309.0
DEA0,2016,2286576.0
DEA0,2017,2322467.0
DEA0,2018,2333091.0
DEA0,2019,2403955.0
DEA0,2020,2462589.0
DEA0,2021,2393402.0
DEA0,2022,2501130.0
DEA0,2023,2538495.0
DEB0,2008,475387.0
DEB0,2009,453932.0
DEB0,2010,511984.0
DEB0,2011,455313.0
DEB0,2012,477487.0
DEB0,2013,508942.0
DEB0,2014,513980.0
DEB0,2015,544726.0
DEB0,2016,561914.0
DEB0,2017,570889.0
DEB0,2018,561976.0
DEB0,2019,572416.0
DEB0,2020,584300.0
DEB0,2021,585515.0
DEB0,2022,598645.0
DEB0,2023,636703.0
DEC0,2008,105847.0
DEC0,2009,107503.0
DEC0,2010,113417.0
DEC0,2011,109932.0
DEC0,2012,110726.0
DEC0,2013,113666.0
DEC0,2014,111242.0
DEC0,2015,121451.0
DEC0,2016,125589.0
DEC0,2017,129757.0
DEC0,2018,126993.0
DEC0,2019,121122.0
DEC0,2020,122844.0
DEC0,2021,124421.0
DEC0,2022,140900.0
DEC0,2023,136021.0
DED0,2008,383080.0
DED0,2009,378012.0
DED0,2010,394451.0
DED0,2011,397269.0
DED0,2012,379619.0
DED0,2013,453007.0
DED0,2014,458645.0
DED0,2015,467961.0
DED0,2016,463552.0
DED0,2017,468973.0
DED0,2018,469176.0
DED0,2019,491476.0
DED0,2020,472167.0
DED0,2021,457923.0
DED0,2022,482703.0
DED0,2023,534852.0
DEE0,2008,238766.0
DEE0,2009,199699.0
DEE0,2010,209141.0
DEE0,2011,214391.0
DEE0,2012,194913.0
DEE0,2013,220432.0
DEE0,2014,214464.0
DEE0,2015,213686.0
DEE0,2016,216666.0
DEE0,2017,212773.0
DEE0,2018,206687.0
DEE0,2019,213029.0
DEE0,2020,211969.0
DEE0,2021,209863.0
DEE0,2022,202873.0
DEE0,2023,223228.0
DEF0,2008,351301.0
DEF0,2009,346434.0
DEF0,2010,321875.0
DEF0,2011,344716.0
DEF0,2012,344865.0
DEF0,2013,362242.0
DEF0,2014,362795.0
DEF0,2015,370364.0
DEF0,2016,378436.0
DEF0,2017,393020.0
DEF0,2018,391810.0
DEF0,2019,407689.0
DEF0,2020,406051.0
DEF0,2021,415360.0
DEF0,2022,417293.0
DEF0,2023,448107.0
DEG0,2008,203532.0
DEG0,2009,191064.0
DEG0,2010,194932.0
DEG0,2011,173375.0
DEG0,2012,194809.0
DEG0,2013,232028.0
DEG0,2014,228772.0
DEG0,2015,236916.0
DEG0,2016,240911.0
DEG0,2017,237725.0
DEG0,2018,232488.0
DEG0,2019,231622.0
DEG0,2020,221518.0
DEG0,2021,219472.0
DEG0,2022,226829.0
DEG0,2023,228332.0
DK01,2008,204610.0
DK01,2009,199405.0
DK01,2010,204830.0
DK01,2011,205652.0
DK01,2012,205490.0
DK01,2013,207163.0
DK01,2014,212690.0
DK01,2015,217245.0
DK01,2016,223981.0
DK01,2017,231856.0
DK01,2018,225210.0
DK01,2019,226496.0
DK01,2020,215480.0
DK01,2021,214899.0
DK01,2022,232862.0
DK01,2023,240076.0
DK02,2008,87625.0
DK02,2009,91100.0
DK02,2010,84582.0
DK02,2011,79288.0
DK02,2012,75374.0
DK02,2013,76220.0
DK02,2014,74515.0
DK02,2015,74825.0
DK02,2016,80889.0
DK02,2017,79608.0
DK02,2018,77314.0
DK02,2019,81842.0
DK02,2020,80333.0
DK02,2021,83910.0
DK02,2022,88130.0
DK02,2023,87090.0
DK03,2008,134946.0
DK03,2009,141262.0
DK03,2010,138786.0
DK03,2011,137536.0
DK03,2012,128850.0
DK03,2013,124139.0
DK03,2014,125599.0
DK03,2015,125577.0
DK03,2016,139136.0
DK03,2017,133280.0
DK03,2018,131778.0
DK03,2019,138805.0
DK03,2020,126428.0
DK03,2021,141416.0
DK03,2022,135408.0
DK03,2023,150098.0
DK04,2008,148371.0
DK04,2009,157882.0
DK04,2010,157070.0
DK04,2011,149316.0
DK04,2012,149653.0
DK04,2013,147879.0
DK04,2014,143734.0
