geo,year,involuntary_temporary
ES23,2010,16691.0
ES23,2011,16805.0
ES23,2012,16429.0
ES23,2013,18726.0
ES23,2014,18139.0
ES23,2015,22610.0
ES23,2016,19887.0
ES23,2017,21341.0
ES23,2018,21931.0
ES23,2019,21121.0
ES23,2020,20950.0
ES23,2021,16870.0
ES23,2022,13430.0
ES23,2023,11620.0
ES24,2008,97829.0
ES24,2009,74494.0
ES24,2010,73053.0
ES24,2011,85792.0
ES24,2012,86952.0
ES24,2013,75315.0
ES24,2014,83062.0
ES24,2015,87583.0
ES24,2016,86516.0
ES24,2017,90298.0
ES24,2018,88205.0
ES24,2019,94532.0
ES24,2020,78520.0
ES24,2021,69287.0
ES24,2022,53384.0
ES24,2023,37639.0
ES30,2008,391897.0
