geo,year,EU_labor_market_workforce_education__geo_label,EU_labor_market_workforce_education__Country_code,EU_labor_market_workforce_education__education_level,EU_labor_market_workforce_education__education_level_pct,EU_labor_market_workforce_education__education_level_pct_diff,_row_order_,__conflict_file
BE2,2024,Vlaams Gewest,BE,medium,39.7,2.05655526992289,6340,EU_labor_market_workforce_education
BE2,2024,Vlaams Gewest,BE,high,45.3,-0.2202643171806199,12613,EU_labor_market_workforce_education
BE21,2008,Prov. Antwerpen,BE,low,26.9,,68,EU_labor_market_workforce_education
BE21,2008,Prov. Antwerpen,BE,medium,40.9,,6341,EU_labor_market_workforce_education
BE21,2008,Prov. Antwerpen,BE,high,32.2,,12614,EU_labor_market_workforce_education
BE21,2009,Prov. Antwerpen,BE,low,27.2,1.115241635687735,69,EU_labor_market_workforce_education
BE21,2009,Prov. Antwerpen,BE,medium,40.8,-0.2444987775061159,6342,EU_labor_market_workforce_education
BE21,2009,Prov. Antwerpen,BE,high,32.0,-0.6211180124223691,12615,EU_labor_market_workforce_education
BE21,2010,Prov. Antwerpen,BE,low,26.7,-1.8382352941176472,70,EU_labor_market_workforce_education
BE21,2010,Prov. Antwerpen,BE,medium,38.1,-6.61764705882352,6343,EU_labor_market_workforce_education
BE21,2010,Prov. Antwerpen,BE,high,35.2,10.000000000000009,12616,EU_labor_market_workforce_education
BE21,2011,Prov. Antwerpen,BE,low,26.4,-1.1235955056179805,71,EU_labor_market_workforce_education
BE21,2011,Prov. Antwerpen,BE,medium,40.0,4.986876640419943,6344,EU_labor_market_workforce_education
BE21,2011,Prov. Antwerpen,BE,high,33.5,-4.829545454545462,12617,EU_labor_market_workforce_education
BE21,2012,Prov. Antwerpen,BE,low,26.0,-1.5151515151515098,72,EU_labor_market_workforce_education
BE21,2012,Prov. Antwerpen,BE,medium,38.7,-3.2499999999999933,6345,EU_labor_market_workforce_education
BE21,2012,Prov. Antwerpen,BE,high,35.3,5.3731343283582005,12618,EU_labor_market_workforce_education
BE21,2013,Prov. Antwerpen,BE,low,26.2,0.7692307692307665,73,EU_labor_market_workforce_education
