geo,year,involuntary_part_time
ES51,2015,205619.0
ES51,2016,223454.0
ES51,2017,200346.0
ES51,2018,181349.0
ES51,2019,160353.0
ES51,2020,160347.0
ES51,2021,159728.0
ES51,2022,160378.0
ES51,2023,131979.0
ES52,2008,74643.0
ES52,2009,110311.0
ES52,2010,109137.0
ES52,2011,149115.0
ES52,2012,140541.0
ES52,2013,174089.0
ES52,2014,157643.0
ES52,2015,179810.0
ES52,2016,163999.0
ES52,2017,155368.0
ES52,2018,139847.0
ES52,2019,140631.0
ES52,2020,127714.0
ES52,2021,124917.0
ES52,2022,117024.0
ES52,2023,106664.0
ES53,2008,15893.0
ES53,2009,20700.0
ES53,2010,21568.0
ES53,2011,24441.0
ES53,2012,30679.0
ES53,2013,37204.0
ES53,2014,36084.0
ES53,2015,25454.0
ES53,2016,33050.0
ES53,2017,20018.0
ES53,2018,23525.0
ES53,2019,27455.0
ES53,2020,28465.0
ES53,2021,22445.0
ES53,2022,15631.0
ES53,2023,16517.0
ES61,2008,142409.0
ES61,2009,152454.0
ES61,2010,172798.0
ES61,2011,215349.0
ES61,2012,215280.0
ES61,2013,239871.0
ES61,2014,274665.0
ES61,2015,259942.0
ES61,2016,242423.0
ES61,2017,281313.0
ES61,2018,244467.0
ES61,2019,236010.0
ES61,2020,207847.0
ES61,2021,213811.0
ES61,2022,210723.0
ES61,2023,232461.0
ES62,2008,17098.0
ES62,2009,18246.0
ES62,2010,36561.0
ES62,2011,28961.0
ES62,2012,37655.0
ES62,2013,47098.0
ES62,2014,48093.0
ES62,2015,48245.0
ES62,2016,40696.0
ES62,2017,28820.0
ES62,2018,33107.0
ES62,2019,38800.0
ES62,2020,25884.0
ES62,2021,24904.0
ES62,2022,27398.0
ES62,2023,29947.0
ES63,2008,991.0
ES63,2009,461.0
ES63,2010,522.0
ES63,2011,2691.0
ES63,2012,1314.0
ES63,2013,1500.0
ES63,2014,604.0
ES63,2015,1767.0
ES63,2016,2151.0
ES63,2017,1726.0
ES63,2018,1970.0
ES63,2019,2123.0
ES63,2020,1626.0
ES63,2021,1414.0
ES63,2022,605.0
ES63,2023,1059.0
ES64,2008,272.0
ES64,2009,333.0
ES64,2010,1343.0
ES64,2011,880.0
ES64,2012,1739.0
ES64,2013,1165.0
ES64,2014,1756.0
ES64,2015,1816.0
ES64,2016,1584.0
ES64,2017,1323.0
ES64,2018,2246.0
ES64,2019,3054.0
ES64,2020,1341.0
ES64,2021,1747.0
ES64,2022,1220.0
ES64,2023,386.0
ES70,2008,30692.0
ES70,2009,53235.0
ES70,2010,46287.0
ES70,2011,53289.0
ES70,2012,68158.0
ES70,2013,65102.0
ES70,2014,72912.0
ES70,2015,71537.0
ES70,2016,55558.0
ES70,2017,72151.0
ES70,2018,51930.0
ES70,2019,53368.0
ES70,2020,73362.0
ES70,2021,50777.0
ES70,2022,57455.0
ES70,2023,48587.0
FI18,2008,28186.0
FI18,2009,28378.0
FI18,2010,30740.0
FI18,2011,31695.0
FI18,2012,26363.0
FI18,2013,33260.0
FI18,2014,31255.0
FI18,2015,38087.0
