geo,year,involuntary_temporary
EL42,2013,12112.0
EL42,2014,17595.0
EL42,2015,10060.0
EL42,2016,9995.0
EL42,2017,13752.0
EL42,2018,11559.0
EL42,2019,12667.0
EL42,2020,6867.0
EL42,2021,5208.0
EL42,2022,3209.0
EL42,2023,5695.0
EL43,2008,11879.0
EL43,2009,13590.0
EL43,2010,15955.0
EL43,2011,15614.0
EL43,2012,18089.0
EL43,2013,17146.0
EL43,2014,14735.0
EL43,2015,13921.0
EL43,2016,14867.0
EL43,2017,18690.0
EL43,2018,21578.0
EL43,2019,25962.0
EL43,2020,16368.0
EL43,2021,11085.0
EL43,2022,8132.0
EL43,2023,15580.0
EL51,2008,5259.0
EL51,2009,5501.0
EL51,2010,5210.0
EL51,2011,4230.0
EL51,2012,4086.0
EL51,2013,4164.0
EL51,2014,5705.0
EL51,2015,7636.0
EL51,2016,6972.0
EL51,2017,6047.0
EL51,2018,7221.0
EL51,2019,11487.0
EL51,2020,8671.0
EL51,2021,4929.0
EL51,2022,3306.0
EL51,2023,9413.0
EL52,2008,28690.0
EL52,2009,28390.0
EL52,2010,30404.0
EL52,2011,24975.0
EL52,2012,23071.0
EL52,2013,22558.0
EL52,2014,22515.0
EL52,2015,23969.0
EL52,2016,27292.0
EL52,2017,34225.0
EL52,2018,35595.0
EL52,2019,31034.0
EL52,2020,24994.0
EL52,2021,14257.0
EL52,2022,10028.0
EL52,2023,12034.0
EL53,2008,5518.0
EL53,2009,3975.0
EL53,2010,4546.0
EL53,2011,3613.0
EL53,2012,4800.0
EL53,2013,4996.0
EL53,2014,5283.0
EL53,2015,5931.0
EL53,2016,5034.0
EL53,2017,4849.0
EL53,2018,5884.0
EL53,2019,6947.0
EL53,2020,6097.0
EL53,2021,4713.0
EL53,2022,5990.0
EL53,2023,5864.0
EL54,2008,5978.0
EL54,2009,3450.0
EL54,2010,4407.0
EL54,2011,4014.0
EL54,2012,3105.0
EL54,2013,3095.0
EL54,2014,2923.0
EL54,2015,3879.0
EL54,2016,4490.0
EL54,2017,3951.0
EL54,2018,2922.0
EL54,2019,4275.0
EL54,2020,3819.0
EL54,2021,2827.0
EL54,2022,5984.0
EL54,2023,4046.0
EL61,2008,11284.0
EL61,2009,9619.0
EL61,2010,8765.0
EL61,2011,6453.0
EL61,2012,6623.0
EL61,2013,7850.0
EL61,2014,8862.0
EL61,2015,6810.0
EL61,2016,9049.0
EL61,2017,8466.0
EL61,2018,7921.0
EL61,2019,9512.0
EL61,2020,9737.0
EL61,2021,10336.0
EL61,2022,5108.0
EL61,2023,14577.0
EL62,2008,4273.0
EL62,2009,4685.0
EL62,2010,5098.0
EL62,2011,6672.0
EL62,2012,6109.0
EL62,2013,3482.0
EL62,2014,3558.0
EL62,2015,5391.0
EL62,2016,5268.0
EL62,2017,6370.0
EL62,2018,9228.0
EL62,2019,10521.0
EL62,2020,3564.0
EL62,2021,3007.0
EL62,2022,1665.0
EL62,2023,4528.0
EL63,2008,6643.0
EL63,2009,7883.0
EL63,2010,8861.0
EL63,2011,6817.0
EL63,2012,4911.0
EL63,2013,4468.0
EL63,2014,6354.0
EL63,2015,11697.0
EL63,2016,11374.0
EL63,2017,9232.0
EL63,2018,8766.0
EL63,2019,13403.0
EL63,2020,10034.0
EL63,2021,10415.0
EL63,2022,4941.0
EL63,2023,10328.0
EL64,2008,8109.0
EL64,2009,6562.0
EL64,2010,5868.0
EL64,2011,4759.0
EL64,2012,3600.0
EL64,2013,3379.0
EL64,2014,3266.0
EL64,2015,3998.0
EL64,2016,4123.0
EL64,2017,3919.0
EL64,2018,4904.0
EL64,2019,7009.0
EL64,2020,5662.0
EL64,2021,8317.0
EL64,2022,2764.0
EL64,2023,4877.0
EL65,2008,4566.0
EL65,2009,6029.0
EL65,2010,7203.0
EL65,2011,8288.0
EL65,2012,8068.0
EL65,2013,8444.0
EL65,2014,8098.0
EL65,2015,7616.0
EL65,2016,8839.0
EL65,2017,8268.0
EL65,2018,7743.0
EL65,2019,10001.0
EL65,2020,9363.0
EL65,2021,4719.0
EL65,2022,8729.0
EL65,2023,8020.0
ES11,2008,118191.0
ES11,2009,126867.0
ES11,2010,112081.0
ES11,2011,101072.0
ES11,2012,104645.0
ES11,2013,103709.0
ES11,2014,96376.0
ES11,2015,121342.0
ES11,2016,134502.0
ES11,2017,130510.0
ES11,2018,128514.0
ES11,2019,132346.0
ES11,2020,130061.0
ES11,2021,106865.0
ES11,2022,78197.0
ES11,2023,62363.0
ES12,2008,48215.0
ES12,2009,51161.0
ES12,2010,36462.0
ES12,2011,50526.0
ES12,2012,40394.0
ES12,2013,40225.0
ES12,2014,58292.0
ES12,2015,53527.0
ES12,2016,50286.0
ES12,2017,54089.0
ES12,2018,50320.0
ES12,2019,49303.0
ES12,2020,52897.0
ES12,2021,40933.0
ES12,2022,37826.0
ES12,2023,22817.0
ES13,2008,26603.0
ES13,2009,25528.0
ES13,2010,22496.0
ES13,2011,21967.0
ES13,2012,22710.0
ES13,2013,18446.0
ES13,2014,28272.0
ES13,2015,25080.0
ES13,2016,27933.0
ES13,2017,28276.0
ES13,2018,29024.0
ES13,2019,30982.0
ES13,2020,29903.0
ES13,2021,30977.0
ES13,2022,22303.0
ES13,2023,20602.0
ES21,2008,105447.0
ES21,2009,97535.0
ES21,2010,96144.0
ES21,2011,110111.0
ES21,2012,83746.0
ES21,2013,88579.0
ES21,2014,99948.0
ES21,2015,112274.0
ES21,2016,109823.0
ES21,2017,116824.0
ES21,2018,132747.0
ES21,2019,114424.0
ES21,2020,105469.0
ES21,2021,110561.0
ES21,2022,101151.0
ES21,2023,93997.0
ES22,2008,29245.0
ES22,2009,30319.0
ES22,2010,26625.0
ES22,2011,30349.0
ES22,2012,24665.0
ES22,2013,25559.0
ES22,2014,30529.0
ES22,2015,32026.0
ES22,2016,42173.0
ES22,2017,33890.0
ES22,2018,35489.0
ES22,2019,31354.0
ES22,2020,34494.0
ES22,2021,32778.0
ES22,2022,21335.0
ES22,2023,26059.0
ES23,2008,11679.0
ES23,2009,10936.0
ES23,2010,10772.0
ES23,2011,11368.0
ES23,2012,12136.0
ES23,2013,12507.0
ES23,2014,13314.0
ES23,2015,15046.0
ES23,2016,15164.0
ES23,2017,17604.0
ES23,2018,16043.0
ES23,2019,14962.0
ES23,2020,15581.0
ES23,2021,12583.0
ES23,2022,10255.0
ES23,2023,9276.0
ES24,2008,64396.0
ES24,2009,50296.0
ES24,2010,52847.0
ES24,2011,60997.0
ES24,2012,66466.0
ES24,2013,56844.0
ES24,2014,62727.0
ES24,2015,61831.0
ES24,2016,59602.0
ES24,2017,69039.0
ES24,2018,67752.0
ES24,2019,71827.0
ES24,2020,53481.0
ES24,2021,54626.0
ES24,2022,37358.0
ES24,2023,25647.0
ES30,2008,238815.0
ES30,2009,228126.0
ES30,2010,283269.0
ES30,2011,282624.0
ES30,2012,259370.0
ES30,2013,232270.0
ES30,2014,204176.0
