NUTS2,NUTS3,Year,Turnover_Catering,Turnover_Accomodation
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2022,116435.0,40342
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2023,138384.0,44786
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,2024,137316.0,45715
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,2019,37445,31349
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,2020,25501,14420
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,2021,35928,28318
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,2022,53381.0,43176
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,2023,63662.0,50978
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,2024,67669.0,57117
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,2019,22928,6435
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,2020,17498,3073
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,2021,22268,4063
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,2022,31227.0,6443
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,2023,35841.0,7060
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,2024,36565.0,7904
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,2019,89997,12584
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,2020,71068,7841
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,2021,88862,10189
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,2022,129044.0,13457
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,2023,150588.0,16866
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,2024,159072.0,18115
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,2019,77956,35871
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,2020,64078,21090
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,2021,81123,29672
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,2022,117149.0,41378
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,2023,131276.0,45086
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,2024,139327.0,45580
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,2019,37078,58731
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,2020,16536,16504
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,2021,30895,42060
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,2022,56095.0,77786
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,2023,59695.0,85127
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,2024,60564.0,95026
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,2019,43964,18951
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,2020,29743,6761
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,2021,37905,10874
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,2022,59929.0,18502
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,2023,67918.0,24635
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,2024,70250.0,25122
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,2019,60646,197924
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,2020,25869,50243
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,2021,53008,134446
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,2022,103361.0,250861
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,2023,128256.0,309420
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,2024,134262.0,345564
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,2019,3244,2319
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,2020,2011,927
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,2021,3415,1741
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,2022,6267.0,2956
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,2023,7620.0,3456
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,2024,8341.0,3838
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,2019,119656,323650
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,2020,63862,94086
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,2021,118450,251629
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,2022,204407.0,435798
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,2023,233510.0,507571
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,2024,243900.0,576448
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,2019,46293,66439
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,2020,21006,21833
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,2021,36479,43094
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,2022,68761.0,92920
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,2023,75480.0,101763
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,2024,75940.0,109407
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,2019,36510,36190
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,2020,21973,16473
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,2021,37404,33636
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,2022,56589.0,51348
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,2023,62874.0,55932
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,2024,67048.0,57399
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,2019,33724,16462
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,2020,27657,9402
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,2021,33363,14883
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,2022,47630.0,19110
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,2023,57737.0,22673
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,2024,60695.0,29111
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2019,537967,429648
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2020,417998,124097
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2021,540274,335325
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2022,814188.0,510187
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2023,923070.0,592365
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,2024,907947.0,620940
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,2019,17135,3910
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,2020,13225,2493
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,2021,14075,1944
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,2022,21516.0,2903
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,2023,24683.0,
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,2024,27346.0,5377
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,2019,29740,7658
