NUTS,Year,GVA,Total
"Anatoliki Makedonia, Thraki",2005,1655.834423,6867.32292
Evros,2005,366.021338,1633.164385
Xanthi,2005,200.772841,1173.642502
Rodopi,2005,197.69678,1231.140618
Drama,2005,221.098437,1010.200307
"Thasos, Kavala",2005,670.245027,1819.175108
Kentriki Makedonia,2005,6143.882286,23738.120183
Imathia,2005,388.145361,1673.812436
Thessaloniki,2005,3941.887894,15234.162087
Kilkis,2005,146.775786,926.903145
Pella,2005,321.257664,1526.318694
Pieria,2005,412.833481,1346.509031
Serres,2005,394.291315,1650.970576
Chalkidiki,2005,538.690785,1379.444214
Dytiki Makedonia,2005,538.567557,4088.46025
Grevena,2005,53.535973,307.564672
Kozani,2005,286.349457,2454.109678
Kastoria,2005,104.892203,483.450051
Florina,2005,93.789925,843.335849
Ipeiros,2005,986.584515,3830.933181
Arta,2005,143.439748,696.896425
Preveza,2005,165.517774,590.321739
Thesprotia,2005,241.585232,601.378995
Ioannina,2005,436.041762,1942.336023
KENTRIKI ELLADA,2005,9387.449833,37033.448836
Thessalia,2005,2127.860307,9020.993117
Karditsa,2005,256.676715,1096.223774
Trikala,2005,317.347289,1407.230893
Larisa,2005,696.583611,3828.639379
Magnisia,2005,857.252692,2688.899071
Ionia Nisia,2005,1631.223903,3319.21074
Zakynthos,2005,397.809197,756.870026
Kerkyra,2005,769.729778,1655.254693
"Ithaki, Kefallinia",2005,354.657797,643.526005
Lefkada,2005,109.027131,263.560016
Dytiki Ellada,2005,2211.267006,8547.368453
Aitoloakarnania,2005,687.570966,2507.221452
Achaia,2005,1066.871509,4326.620664
Ileia,2005,456.824532,1713.526337
Sterea Ellada,2005,1701.995414,8699.051673
Voiotia,2005,237.639752,2553.643788
Evvoia,2005,807.590676,3172.38932
Evrytania,2005,34.431727,186.281509
Fthiotida,2005,526.327845,2315.169622
Fokida,2005,96.005414,471.567434
Peloponnisos,2005,1715.103203,7446.824854
Argolida,2005,378.528086,1380.467809
Arkadia,2005,198.702486,1321.3291
Korinthia,2005,465.194664,1891.857948
Lakonia,2005,277.585016,1003.710316
Messinia,2005,395.09295,1849.45968
ELLADA,2006,45275.072103,189484.433289
ATTIKI,2006,19690.423351,90669.806037
Attiki,2006,19690.423351,90669.806037
Voreios Tomeas Athinon,2006,2548.616218,14601.845931
Dytikos Tomeas Athinon,2006,1597.284201,6407.21652
Kentrikos Tomeas Athinon,2006,6129.718837,32672.466074
