geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL541,2015,48776,4453,53229,662,22.9,,,,,232,greek_tourism_Stays
EL541,2015,104432,164896,269328,4836,29.3,,,,,709,greek_tourism_Stays
EL541,2016,49565,5401,54966,678,23.5,1.6175988190913566,21.289018639119696,3.26325874992955,2.620087336244548,233,greek_tourism_Stays
EL541,2016,113839,182941,296780,5193,30.5,9.007775394515091,10.943261207063848,10.19277609457613,4.0955631399317385,710,greek_tourism_Stays
EL541,2017,50597,6251,56848,721,22.4,2.082114395238576,15.737826328457691,3.423934796055744,-4.6808510638297935,234,greek_tourism_Stays
EL541,2017,128314,218270,346584,5348,33.0,12.715326030622196,19.31169065436397,16.781454275894603,8.19672131147541,711,greek_tourism_Stays
EL541,2018,44650,6339,50989,727,19.9,-11.753661284265863,1.407774756039034,-10.306431184914157,-11.160714285714286,235,greek_tourism_Stays
EL541,2018,144941,263092,408033,5633,29.8,12.958056018828811,20.535117056856187,17.729900976386677,-9.696969696969694,712,greek_tourism_Stays
EL541,2019,46980,8005,54985,758,20.8,5.218365061590145,26.281747909764945,7.836984447625958,4.522613065326644,236,greek_tourism_Stays
EL541,2019,143029,259032,402061,5650,30.1,-1.3191574502728696,-1.543186413878035,-1.4636071102092232,1.0067114093959757,713,greek_tourism_Stays
EL541,2020,31361,2793,34154,710,17.7,-33.24606215410813,-65.10930668332293,-37.88487769391652,-14.90384615384616,237,greek_tourism_Stays
EL541,2020,142668,72408,215076,4830,28.4,-0.2523963671702941,-72.04669693319744,-46.50662461666265,-5.647840531561471,714,greek_tourism_Stays
EL541,2021,30069,3967,34036,584,22.4,-4.119766589075604,42.03365556749015,-0.34549393921649,26.55367231638418,238,greek_tourism_Stays
EL541,2021,124192,106676,230868,4485,29.5,-12.950346258446183,47.32626229145951,7.342520783351001,3.8732394366197234,715,greek_tourism_Stays
EL541,2022,47410,8206,55616,758,25.1,57.6706907446207,106.85656667506932,63.40345516511928,12.053571428571445,239,greek_tourism_Stays
EL541,2022,141831,237479,379310,6089,34.8,14.203008245297603,122.61708350519328,64.29734740197863,17.966101694915245,716,greek_tourism_Stays
EL541,2023,57750,11319,69069,796,30.6,21.809744779582367,37.93565683646112,24.189082278481013,21.91235059760956,240,greek_tourism_Stays
EL541,2023,158068,290635,448703,5993,38.6,11.44813193166515,22.383452852673287,18.294534813213467,10.91954022988507,717,greek_tourism_Stays
EL531,2015,7057,296,7353,1109,2.2,,,,,268,greek_tourism_Stays
EL531,2015,120298,9584,129882,1476,26.6,,,,,520,greek_tourism_Stays
EL531,2016,4243,160,4403,1109,1.3,-39.875301119455855,-45.94594594594595,-40.11967904256765,-40.909090909090914,269,greek_tourism_Stays
EL531,2016,111628,8732,120360,1440,25.4,-7.207102362466541,-8.889816360601003,-7.331269921929135,-4.511278195488732,521,greek_tourism_Stays
EL531,2017,11592,9981,21573,1154,6.0,173.2029224605232,6138.125,389.96138996139,361.5384615384616,270,greek_tourism_Stays
EL531,2017,105300,8914,114214,1436,23.8,-5.668828609309492,2.0842876775080166,-5.106347623795281,-6.299212598425188,522,greek_tourism_Stays
EL531,2018,8420,876,9296,985,3.0,-27.363699102829536,-91.2233243162008,-56.90909933713439,-50.0,271,greek_tourism_Stays
