geo,nuts_label,nuts_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
EL422,Μύκονος,3,2023,52668,598731,651399,17298,9.28784860557769,10.740761291754522,10.621854048215852,2.0049534143177263
EL422,Νάξος,3,2023,42272,116446,158718,7725,17.79524048375411,14.00626590953593,14.991378435946851,-2.7690371302706107
EL422,Πάρος,3,2023,41245,143927,185172,7690,10.975084754883497,29.640605296343004,24.959172931316047,0.8392341987936008
EL422,Σύρος,3,2023,41129,27196,68325,2279,11.382223907274009,28.2588190907376,17.53827627730948,-9.275477707006369
EL422,Τήνος,3,2023,51654,11802,63456,2193,8.981581112728653,43.94438346139773,14.137707748758904,-6.1215753424657535
EL515,Θάσος,3,2015,22864,106585,129449,10355,,,,
EL515,Καβάλα,3,2015,69148,89297,158445,3068,,,,
EL515,Θάσος,3,2016,26280,115248,141528,9999,14.940517844646608,8.127785335647605,9.331087918794276,-3.4379526798648
EL515,Καβάλα,3,2016,69815,81805,150870,3018,0.9645976745531324,-8.389979506590366,-4.780838776862634,-1.6297262059973925
EL515,Θάσος,3,2017,23196,121458,144654,10086,-11.735159817351596,5.388379841732611,2.2087502119721893,0.87008700870087
EL515,Καβάλα,3,2017,70973,86513,157486,3115,1.6586693403996278,5.755149440743232,4.385232319215218,3.214049039098741
EL515,Θάσος,3,2018,37525,162000,199525,12210,61.77358165200897,33.37943980635281,37.93258395896415,21.058893515764428
EL515,Καβάλα,3,2018,71677,90072,161749,3301,0.9919265072633257,4.113832603192584,2.706907280647169,5.971107544141252
EL515,Θάσος,3,2019,38227,164416,202643,12378,1.8707528314457027,1.491358024691358,1.5627114396692146,1.375921375921376
EL515,Καβάλα,3,2019,71220,97314,168534,3327,-0.6375824881063661,8.0402344790834,4.194770910484764,0.7876401090578612
EL515,Θάσος,3,2020,29039,31686,60725,10374,-24.035367672064247,-80.72815297781237,-70.03350720232132,-16.19001454192923
EL515,Καβάλα,3,2020,30754,15483,46237,2715,-56.81830946363381,-84.08964794376965,-72.56517972634602,-18.394950405770967
EL515,Θάσος,3,2021,30275,80851,111126,9205,4.256344915458522,155.16316354225842,82.99876492383696,-11.26855600539811
EL515,Καβάλα,3,2021,41774,31623,73397,2776,35.832737204916434,104.24336368920753,58.74083526180331,2.246777163904236
EL515,Θάσος,3,2022,33428,135776,169204,11536,10.414533443435175,67.93360626337336,52.26319673163796,25.32319391634981
EL515,Καβάλα,3,2022,60870,81110,141980,3318,45.71264422846747,156.4905290453151,93.4411488207965,19.524495677233432
EL515,Θάσος,3,2023,36817,156541,193358,11183,10.138207490726336,15.293571765260433,14.275076239332405,-3.05998613037448
EL515,Καβάλα,3,2023,67006,96902,163908,3369,10.080499425004106,19.46985575144865,15.444428792787718,1.5370705244122964
EL531,Γρεβενά,3,2015,3531,177,3708,1109,,,,
EL531,Κοζάνη,3,2015,38096,3101,41197,1476,,,,
EL531,Γρεβενά,3,2016,2363,99,2462,1109,-33.07844803171906,-44.06779661016949,-33.60302049622438,0.0
EL531,Κοζάνη,3,2016,37747,2472,40219,1440,-0.9161066778664428,-20.28377942599161,-2.373959268878802,-2.4390243902439024
EL531,Γρεβενά,3,2017,6418,937,7355,1154,171.60389335590352,846.4646464646465,198.7408610885459,4.05770964833183
EL531,Κοζάνη,3,2017,41979,3053,45032,1436,11.211487005589849,23.50323624595469,11.966980780228251,-0.2777777777777778
EL531,Γρεβενά,3,2018,5106,635,5741,985,-20.44250545341228,-32.230522945570975,-21.94425560842964,-14.644714038128251
EL531,Κοζάνη,3,2018,44055,4724,48779,1782,4.945329807761024,54.73304945954799,8.320749689109967,24.094707520891365
EL531,Γρεβενά,3,2019,6785,946,7731,1031,32.88288288288289,48.976377952755904,34.66295070545201,4.67005076142132
EL531,Κοζάνη,3,2019,46098,4734,50832,1762,4.637385086823289,0.2116850127011007,4.208778367740216,-1.122334455667789
EL531,Γρεβενά,3,2020,3931,524,4455,640,-42.06337509211496,-44.60887949260042,-42.374854481955765,-37.92434529582929
