NUTS_label,year,NUTS_level,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy,Hotel_Stays_Natives_pct_diff,Hotel_Stays_Foreign_pct_diff,Hotel_Stays_Total_pct_diff,Hotel_Occupancy_pct_diff
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2019,2,1106013,1057580,2163593,29952,26.8,-1.0658995338702189,1.0367545341292104,-0.04915328386899171,-3.5971223021582732
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2020,2,594565,205096,799661,23158,18.4,-46.24249443722633,-80.60704627545907,-63.040137401073125,-31.34328358208956
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2021,2,675568,426602,1102170,19644,25.2,13.623909917334522,108.00113117759489,37.829655316440345,36.956521739130444
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2022,2,1057615,862126,1919741,28869,31.8,56.55196812163986,102.09141072943868,74.17830280265295,26.190476190476197
ΣΤΕΡΕΑ ΕΛΛΑΔΑ,2023,2,1191869,1036187,2228056,29836,34.3,12.694033272977407,20.189740246785274,16.06023937604083,7.861635220125775
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,2024,2,1207968,1016463,2224431,28514,33.1,NA,NA,NA,NA
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,2024,3,223668,168622,392290,4165,35.6,NA,NA,NA,NA
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,2024,3,314232,1142618,1456850,12826,39.5,NA,NA,NA,NA
ΑΝΔΡΟΥ,2024,3,63229,43478,106707,1345,34.1,NA,NA,NA,NA
ΑΡΓΟΛΙΔΑΣ,2024,3,590835,607030,1197865,11425,46.1,NA,NA,NA,NA
ΑΡΚΑΔΙΑΣ,2024,3,136102,27745,163847,3103,19.4,NA,NA,NA,NA
ΑΡΤΑΣ,2024,3,70361,11547,81908,685,36.6,NA,NA,NA,NA
ΑΧΑΪΑΣ,2024,3,485115,361317,846432,7516,38.4,NA,NA,NA,NA
ΒΟΙΩΤΙΑΣ,2024,3,109950,66363,176313,1666,34.3,NA,NA,NA,NA
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,2024,3,172299,145969,318268,2275,39.5,NA,NA,NA,NA
ΓΡΕΒΕΝΩΝ,2024,3,12141,1607,13748,1243,7.4,NA,NA,NA,NA
ΔΡΑΜΑΣ,2024,3,69329,15987,85316,1107,24.7,NA,NA,NA,NA
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,2024,3,36706,112038,148744,1263,45.8,NA,NA,NA,NA
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,2024,3,16035,5079,21114,563,13.5,NA,NA,NA,NA
ΕΒΡΟΥ,2024,3,230923,212621,443544,3921,38.8,NA,NA,NA,NA
ΕΥΒΟΙΑΣ,2024,3,644168,559506,1203674,15417,35.5,NA,NA,NA,NA
ΕΥΡΥΤΑΝΙΑΣ,2024,3,95589,3145,98734,1675,20.2,NA,NA,NA,NA
ΖΑΚΥΝΘΟΥ,2024,3,217799,4755720,4973519,38783,58.1,NA,NA,NA,NA
ΗΛΕΙΑΣ,2024,3,244588,593819,838407,8590,33.9,NA,NA,NA,NA
ΗΜΑΘΙΑΣ,2024,3,68666,79261,147927,1174,40.8,NA,NA,NA,NA
ΗΡΑΚΛΕΙΟΥ,2024,3,497836,12215787,12713623,81572,55.8,NA,NA,NA,NA
ΘΑΣΟΥ,2024,3,120923,1007492,1128415,11575,52.3,NA,NA,NA,NA
ΘΕΣΠΡΩΤΙΑΣ,2024,3,87699,290969,378668,3831,45.4,NA,NA,NA,NA
ΘΕΣΣΑΛΟΝΙΚΗΣ,2024,3,1341749,1664505,3006254,16598,54.5,NA,NA,NA,NA
ΘΗΡΑΣ,2024,3,193642,2153785,2347427,20752,48.5,NA,NA,NA,NA
ΙΘΑΚΗΣ,2024,3,9110,17656,26766,265,37.6,NA,NA,NA,NA
ΙΚΑΡΙΑΣ,2024,3,35962,26745,62707,965,29,NA,NA,NA,NA
ΙΩΑΝΝΙΝΩΝ,2024,3,736174,174587,910761,7909,36.5,NA,NA,NA,NA
ΚΑΒΑΛΑΣ,2024,3,129059,294778,423837,3442,44.5,NA,NA,NA,NA
ΚΑΛΥΜΝΟΥ,2024,3,84097,281906,366003,5214,32.3,NA,NA,NA,NA
ΚΑΡΔΙΤΣΑΣ,2024,3,125320,23603,148923,1416,33,NA,NA,NA,NA
ΚΑΡΠΑΘΟΥ - ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,2024,3,46924,556624,603548,6455,47.6,NA,NA,NA,NA
ΚΑΣΤΟΡΙΑΣ,2024,3,93407,17161,110568,1842,23.7,NA,NA,NA,NA
ΚΕΑΣ - ΚΥΘΝΟΥ,2024,3,25247,27908,53155,887,26.2,NA,NA,NA,NA
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,2024,3,1465688,6147422,7613110,37097,60.4,NA,NA,NA,NA
