geo,year,temporary_employment,geo_label,NUTS_level,Country_code,temporary_employment_diff
IT,2006,13.1,Italy,0,IT,7.377049180327873
IT,2007,13.2,Italy,0,IT,0.7633587786259515
IT,2008,13.3,Italy,0,IT,0.7575757575757683
IT,2009,12.4,Italy,0,IT,-6.766917293233085
IT,2010,12.7,Italy,0,IT,2.4193548387096686
IT,2011,13.3,Italy,0,IT,4.72440944881891
IT,2012,13.8,Italy,0,IT,3.7593984962406015
IT,2013,13.2,Italy,0,IT,-4.347826086956532
IT,2014,13.6,Italy,0,IT,3.030303030303033
IT,2015,14,Italy,0,IT,2.941176470588238
IT,2016,14,Italy,0,IT,0
IT,2017,15.4,Italy,0,IT,10.000000000000002
IT,2018,17,Italy,0,IT,10.389610389610388
IT,2019,16.9,Italy,0,IT,-0.5882352941176554
IT,2020,15,Italy,0,IT,-11.24260355029585
IT,2021,16.4,Italy,0,IT,9.333333333333323
IT,2022,16.8,Italy,0,IT,2.4390243902439157
IT,2023,16,Italy,0,IT,-4.761904761904765
IT,2024,14.7,Italy,0,IT,-8.125000000000004
CY,1995,NA,Cyprus,0,CY,NA
CY,1996,NA,Cyprus,0,CY,NA
CY,1997,NA,Cyprus,0,CY,NA
CY,1998,NA,Cyprus,0,CY,NA
CY,1999,10.3,Cyprus,0,CY,NA
CY,2000,10.7,Cyprus,0,CY,3.883495145631054
CY,2001,10.8,Cyprus,0,CY,0.9345794392523498
CY,2002,9.1,Cyprus,0,CY,-15.74074074074075
CY,2003,12.6,Cyprus,0,CY,38.46153846153847
CY,2004,13.1,Cyprus,0,CY,3.968253968253968
CY,2005,14,Cyprus,0,CY,6.870229007633591
CY,2006,13.2,Cyprus,0,CY,-5.71428571428572
CY,2007,13.2,Cyprus,0,CY,0
CY,2008,13.9,Cyprus,0,CY,5.303030303030312
CY,2009,13.7,Cyprus,0,CY,-1.438848920863317
CY,2010,14,Cyprus,0,CY,2.1897810218978155
CY,2011,14.1,Cyprus,0,CY,0.7142857142857117
CY,2012,15.1,Cyprus,0,CY,7.092198581560284
CY,2013,17.4,Cyprus,0,CY,15.231788079470194
CY,2014,18.9,Cyprus,0,CY,8.620689655172415
CY,2015,18.3,Cyprus,0,CY,-3.1746031746031633
CY,2016,16.5,Cyprus,0,CY,-9.836065573770496
CY,2017,15.2,Cyprus,0,CY,-7.878787878787883
CY,2018,13.7,Cyprus,0,CY,-9.868421052631579
CY,2019,13.5,Cyprus,0,CY,-1.459854014598535
CY,2020,13.5,Cyprus,0,CY,0
CY,2021,13.1,Cyprus,0,CY,-2.9629629629629655
CY,2022,11.9,Cyprus,0,CY,-9.160305343511444
CY,2023,13.6,Cyprus,0,CY,14.28571428571428
CY,2024,13.9,Cyprus,0,CY,2.205882352941182
LV,1995,NA,Latvia,0,LV,NA
LV,1996,NA,Latvia,0,LV,NA
LV,1997,NA,Latvia,0,LV,NA
LV,1998,8,Latvia,0,LV,NA
LV,1999,7.5,Latvia,0,LV,-6.25
LV,2000,6.8,Latvia,0,LV,-9.333333333333336
LV,2001,7.3,Latvia,0,LV,7.352941176470589
LV,2002,11,Latvia,0,LV,50.68493150684932
LV,2003,9.6,Latvia,0,LV,-12.727272727272732
