NUTS_label,NUTS_level,year,Turnover_Catering,Turnover_Accomodation,Turnover_Catering_pct_diff,Turnover_Accomodation_pct_diff
ΓΡΕΒΕΝΩΝ,3,2020,7172,3191,-20.96969696969697,-11.582155721806595
ΓΡΕΒΕΝΩΝ,3,2021,7112,1530,-0.8365867261572784,-52.05264807270448
ΓΡΕΒΕΝΩΝ,3,2022,10818,NA,52.10911136107986,NA
ΓΡΕΒΕΝΩΝ,3,2023,13082,1428,20.928082824921425,NA
ΓΡΕΒΕΝΩΝ,3,2024,12718,1552,-2.782449166794068,8.683473389355742
ΔΡΑΜΑΣ,3,2019,26730,5208,NA,NA
ΔΡΑΜΑΣ,3,2020,20982,3320,-21.50392817059484,-36.25192012288787
ΔΡΑΜΑΣ,3,2021,25196,4565,20.083881422171384,37.5
ΔΡΑΜΑΣ,3,2022,36371,6249,44.3522781393872,36.889375684556406
ΔΡΑΜΑΣ,3,2023,43060,6146,18.391025817272002,-1.6482637221955514
ΔΡΑΜΑΣ,3,2024,41373,7307,-3.917789131444496,18.890335177351123
ΕΒΡΟΥ,3,2019,47704,18515,NA,NA
ΕΒΡΟΥ,3,2020,41358,12757,-13.302867684051654,-31.099108830677828
ΕΒΡΟΥ,3,2021,47412,12799,14.638038589873787,0.3292310104256487
ΕΒΡΟΥ,3,2022,66323,18354,39.88652661773391,43.40182826783342
ΕΒΡΟΥ,3,2023,75818,22939,14.31630052922817,24.98093058733791
ΕΒΡΟΥ,3,2024,82209,NA,8.429396713181566,NA
ΕΥΒΟΙΑΣ,3,2019,86331,29771,NA,NA
ΕΥΒΟΙΑΣ,3,2020,77242,18695,-10.528083770603839,-37.20399046051527
ΕΥΒΟΙΑΣ,3,2021,89092,24399,15.341394578079285,30.510831773201392
ΕΥΒΟΙΑΣ,3,2022,126783,36017,42.30570646073721,47.61670560268863
ΕΥΒΟΙΑΣ,3,2023,151011,49176,19.109817562291475,36.535524891023684
ΕΥΒΟΙΑΣ,3,2024,155630,48758,3.0587175768652615,-0.8500081340491297
ΕΥΡΥΤΑΝΙΑΣ,3,2019,4313,2367,NA,NA
ΕΥΡΥΤΑΝΙΑΣ,3,2020,3407,1507,-21.006260143751447,-36.33291085762569
ΕΥΡΥΤΑΝΙΑΣ,3,2021,4081,2184,19.78280011740534,44.92368944923689
ΕΥΡΥΤΑΝΙΑΣ,3,2022,6674,3553,63.53834844400882,62.68315018315018
ΕΥΡΥΤΑΝΙΑΣ,3,2023,7431,4157,11.342523224453101,16.999718547706163
ΕΥΡΥΤΑΝΙΑΣ,3,2024,7949,4428,6.970798008343426,6.519124368535001
ΖΑΚΥΝΘΟΥ,3,2019,60646,197924,NA,NA
ΖΑΚΥΝΘΟΥ,3,2020,25869,50243,-57.344260132572636,-74.61500373880884
ΖΑΚΥΝΘΟΥ,3,2021,53008,134446,104.90935096060923,167.5915052843182
ΖΑΚΥΝΘΟΥ,3,2022,103361,250861,94.99132206459402,86.58866756913557
ΖΑΚΥΝΘΟΥ,3,2023,128256,309420,24.085486789021004,23.343205998541023
ΖΑΚΥΝΘΟΥ,3,2024,134262,345564,4.6828218562874255,11.681210005817336
ΗΛΕΙΑΣ,3,2019,39788,28774,NA,NA
ΗΛΕΙΑΣ,3,2020,29896,8563,-24.86176736704534,-70.24049489122123
ΗΛΕΙΑΣ,3,2021,37296,17802,24.752475247524753,107.89442952236365
ΗΛΕΙΑΣ,3,2022,57072,31577,53.024453024453024,77.37894618582182
ΗΛΕΙΑΣ,3,2023,65394,35501,14.581581160639193,12.42676631725623
ΗΛΕΙΑΣ,3,2024,69028,37957,5.557084747836193,6.918114982676545
ΗΜΑΘΙΑΣ,3,2019,33724,16462,NA,NA
ΗΜΑΘΙΑΣ,3,2020,27657,9402,-17.990155378958605,-42.88664803790548
ΗΜΑΘΙΑΣ,3,2021,33363,14883,20.63130491376505,58.29610721123165
ΗΜΑΘΙΑΣ,3,2022,47630,19110,42.762940982525556,28.40153194920379
ΗΜΑΘΙΑΣ,3,2023,57737,22673,21.219819441528447,18.644688644688646
ΗΜΑΘΙΑΣ,3,2024,60695,29111,5.123231203560975,28.395007277378383
ΗΡΑΚΛΕΙΟΥ,3,2019,162230,588631,NA,NA
ΗΡΑΚΛΕΙΟΥ,3,2020,109459,195990,-32.528508907107195,-66.70409815317237
ΗΡΑΚΛΕΙΟΥ,3,2021,156851,493922,43.29657680044583,152.01387825909484
ΗΡΑΚΛΕΙΟΥ,3,2022,241884,774411,54.21259666817553,56.788116342256465
ΗΡΑΚΛΕΙΟΥ,3,2023,279300,872053,15.468571712060328,12.608550240117975
ΗΡΑΚΛΕΙΟΥ,3,2024,298707,987466,6.9484425349087,13.23463138134953
ΘΑΣΟΥ,3,2019,23758,51703,NA,NA
ΘΑΣΟΥ,3,2020,10202,15350,-57.0586749726408,-70.31120051060867
ΘΑΣΟΥ,3,2021,20911,40303,104.96961380121546,162.56026058631923
ΘΑΣΟΥ,3,2022,36456,64974,74.33886471235235,61.21380542391385
ΘΑΣΟΥ,3,2023,46000,76580,26.17950405968839,17.86252962723551
ΘΑΣΟΥ,3,2024,45707,86446,-0.6369565217391304,12.88325933664142
ΘΕΣΠΡΩΤΙΑΣ,3,2019,23904,15000,NA,NA
ΘΕΣΠΡΩΤΙΑΣ,3,2020,17513,8212,-26.73611111111111,-45.25333333333334
ΘΕΣΠΡΩΤΙΑΣ,3,2021,25743,13981,46.99366185119626,70.2508524111057
ΘΕΣΠΡΩΤΙΑΣ,3,2022,34570,20465,34.28893291380181,46.37722623560546
ΘΕΣΠΡΩΤΙΑΣ,3,2023,39353,23344,13.835695689904542,14.067920840459323
ΘΕΣΠΡΩΤΙΑΣ,3,2024,39059,24438,-0.747084085076106,4.686429061000686
ΘΕΣΣΑΛΟΝΙΚΗΣ,3,2019,537967,429648,NA,NA
ΘΕΣΣΑΛΟΝΙΚΗΣ,3,2020,417998,124097,-22.30043850273344,-71.116588463114
ΘΕΣΣΑΛΟΝΙΚΗΣ,3,2021,540274,335325,29.252771544361455,170.21201157159317
ΘΕΣΣΑΛΟΝΙΚΗΣ,3,2022,814188,510187,50.6990897211415,52.14702154626109
ΘΕΣΣΑΛΟΝΙΚΗΣ,3,2023,923070,592365,13.373078453624961,16.107427276665224
ΘΕΣΣΑΛΟΝΙΚΗΣ,3,2024,907947,620940,-1.6383372875296565,4.823883922919146
ΘΗΡΑΣ,3,2019,135543,370193,NA,NA
ΘΗΡΑΣ,3,2020,43653,94012,-67.79398419689693,-74.60459814205022
ΘΗΡΑΣ,3,2021,123387,302131,182.65411311937322,221.37493085989024
ΘΗΡΑΣ,3,2022,216893,548436,75.78269996028754,81.52258457424098
ΘΗΡΑΣ,3,2023,227682,543732,4.974342187161412,-0.8577117475876858
ΘΗΡΑΣ,3,2024,212406,492378,-6.709357788494478,-9.444726446116837
ΙΘΑΚΗΣ,3,2019,3244,2319,NA,NA
ΙΘΑΚΗΣ,3,2020,2011,927,-38.00863131935881,-60.025873221216045
ΙΘΑΚΗΣ,3,2021,3415,1741,69.81601193436101,87.8101402373247
ΙΘΑΚΗΣ,3,2022,6267,2956,83.51390922401171,69.7874784606548
ΙΘΑΚΗΣ,3,2023,7620,3456,21.589277166108186,16.914749661705006
ΙΘΑΚΗΣ,3,2024,8341,3838,9.461942257217848,11.05324074074074
ΙΚΑΡΙΑΣ,3,2019,3901,2332,NA,NA
ΙΚΑΡΙΑΣ,3,2020,2457,1028,-37.016149705203794,-55.917667238421956
ΙΚΑΡΙΑΣ,3,2021,4845,2019,97.19169719169719,96.40077821011673
ΙΚΑΡΙΑΣ,3,2022,6415,2616,32.404540763673886,29.569093610698367
ΙΚΑΡΙΑΣ,3,2023,7924,3208,23.522992985190957,22.629969418960243
ΙΚΑΡΙΑΣ,3,2024,9087,3869,14.67693084300858,20.604738154613468
ΙΩΑΝΝΙΝΩΝ,3,2019,78166,34183,NA,NA
ΙΩΑΝΝΙΝΩΝ,3,2020,56473,14096,-27.752475500857148,-58.76312787057895
ΙΩΑΝΝΙΝΩΝ,3,2021,75784,23793,34.19510208418182,68.79256526674233
ΙΩΑΝΝΙΝΩΝ,3,2022,116435,40342,53.64061015517787,69.55407052494431
ΙΩΑΝΝΙΝΩΝ,3,2023,138384,44786,18.85086099540516,11.015814783600218
ΙΩΑΝΝΙΝΩΝ,3,2024,137316,45715,-0.7717655220256677,2.0743089358281606
ΚΑΒΑΛΑΣ,3,2019,52913,17835,NA,NA
ΚΑΒΑΛΑΣ,3,2020,38613,7592,-27.025494679946327,-57.43201569946734
ΚΑΒΑΛΑΣ,3,2021,49439,13241,28.037189547561702,74.4072708113804
ΚΑΒΑΛΑΣ,3,2022,74825,21364,51.34812597342179,61.3473302620648
ΚΑΒΑΛΑΣ,3,2023,90323,29165,20.712328767123285,36.514697622168136
ΚΑΒΑΛΑΣ,3,2024,95832,33771,6.099221682185047,15.792902451568661
ΚΑΛΥΜΝΟΥ,3,2019,20463,11722,NA,NA
ΚΑΛΥΜΝΟΥ,3,2020,12898,4562,-36.969163856717,-61.081726667804126
ΚΑΛΥΜΝΟΥ,3,2021,21741,9076,68.56101721197085,98.94782989916703
ΚΑΛΥΜΝΟΥ,3,2022,32253,17902,48.351041810404304,97.24548259144998
ΚΑΛΥΜΝΟΥ,3,2023,42163,22625,30.725823954360838,26.382527091945036
ΚΑΛΥΜΝΟΥ,3,2024,43784,24482,3.8446030880155586,8.207734806629833
ΚΑΡΔΙΤΣΑΣ,3,2019,22928,6435,NA,NA
ΚΑΡΔΙΤΣΑΣ,3,2020,17498,3073,-23.682833217027216,-52.245532245532246
ΚΑΡΔΙΤΣΑΣ,3,2021,22268,4063,27.260258315236026,32.21607549625773
ΚΑΡΔΙΤΣΑΣ,3,2022,31227,6443,40.23262080114963,58.57740585774059
ΚΑΡΔΙΤΣΑΣ,3,2023,35841,7060,14.77567489672399,9.576284339593357
ΚΑΡΔΙΤΣΑΣ,3,2024,36565,7904,2.020032923188527,11.954674220963172
ΚΑΡΠΑΘΟΥ,3,2019,9893,24985,NA,NA
ΚΑΡΠΑΘΟΥ,3,2020,3384,4165,-65.79399575457394,-83.32999799879927
ΚΑΡΠΑΘΟΥ,3,2021,8748,14890,158.51063829787233,257.5030012004802
ΚΑΡΠΑΘΟΥ,3,2022,14320,28801,63.69455875628716,93.42511752854264
ΚΑΡΠΑΘΟΥ,3,2023,15774,34751,10.153631284916202,20.659004895663344
ΚΑΡΠΑΘΟΥ,3,2024,18418,37082,16.761759857994168,6.707720641132629
ΚΑΣΤΟΡΙΑΣ,3,2019,11001,9473,NA,NA
ΚΑΣΤΟΡΙΑΣ,3,2020,7334,3602,-33.33333333333333,-61.97614272141877
ΚΑΣΤΟΡΙΑΣ,3,2021,9482,4442,29.28824652304336,23.320377568017765
ΚΑΣΤΟΡΙΑΣ,3,2022,15264,8158,60.97869647753639,83.65601080594327
ΚΑΣΤΟΡΙΑΣ,3,2023,17540,11011,14.91090146750524,34.97180681539593
ΚΑΣΤΟΡΙΑΣ,3,2024,18260,12238,4.104903078677309,11.143402052492963
ΚΕΑΣ - ΚΥΘΝΟΥ,3,2019,7347,3011,NA,NA
ΚΕΑΣ - ΚΥΘΝΟΥ,3,2020,6963,2105,-5.226623111474071,-30.089671205579542
ΚΕΑΣ - ΚΥΘΝΟΥ,3,2021,10837,3900,55.63693810139307,85.2731591448931
ΚΕΑΣ - ΚΥΘΝΟΥ,3,2022,14140,6315,30.478914828827165,61.92307692307693
ΚΕΑΣ - ΚΥΘΝΟΥ,3,2023,14891,6969,5.311173974540311,10.356294536817103
ΚΕΑΣ - ΚΥΘΝΟΥ,3,2024,16138,6758,8.374185749781747,-3.0276940737552014
ΚΕΡΚΥΡΑΣ,3,2019,119656,323650,NA,NA
ΚΕΡΚΥΡΑΣ,3,2020,63862,94086,-46.62866885070536,-70.92970801792059
ΚΕΡΚΥΡΑΣ,3,2021,118450,251629,85.47806207134133,167.4457411304551
ΚΕΡΚΥΡΑΣ,3,2022,204407,435798,72.56817222456733,73.19068946743023
