geo,geo_label,NUTS_level,Country_code,year,education_level,education_level_pct,education_level_pct_diff
FRG0,Pays de la Loire,2,FR,2018,high,34.6,3.903903903903917
FRG0,Pays de la Loire,2,FR,2019,high,35.1,1.4450867052023122
FRG0,Pays de la Loire,2,FR,2020,high,35.9,2.279202279202271
FRG0,Pays de la Loire,2,FR,2021,high,38.6,7.520891364902516
FRG0,Pays de la Loire,2,FR,2022,high,40,3.626943005181343
FRG0,Pays de la Loire,2,FR,2023,high,38.7,-3.2499999999999933
FRG0,Pays de la Loire,2,FR,2024,high,40.5,4.651162790697667
FRH,Bretagne,1,FR,2008,high,27.8,NA
FRH,Bretagne,1,FR,2009,high,27.9,0.35971223021581966
FRH,Bretagne,1,FR,2010,high,27.9,0
FRH,Bretagne,1,FR,2011,high,30,7.526881720430113
FRH,Bretagne,1,FR,2012,high,31.9,6.333333333333329
FRH,Bretagne,1,FR,2013,high,33.3,4.388714733542316
FRH,Bretagne,1,FR,2014,high,33.6,0.9009009009009137
FRH,Bretagne,1,FR,2015,high,32.8,-2.380952380952394
FRH,Bretagne,1,FR,2016,high,33.8,3.0487804878048785
FRH,Bretagne,1,FR,2017,high,34,0.5917159763313694
FRH,Bretagne,1,FR,2018,high,37.7,10.88235294117648
FRH,Bretagne,1,FR,2019,high,37.7,0
FRH,Bretagne,1,FR,2020,high,38.1,1.0610079575596778
FRH,Bretagne,1,FR,2021,high,40.4,6.0367454068241395
FRH,Bretagne,1,FR,2022,high,42.1,4.207920792079215
FRH,Bretagne,1,FR,2023,high,40.2,-4.5130641330166235
FRH,Bretagne,1,FR,2024,high,40.1,-0.24875621890547614
FRH0,Bretagne,2,FR,2008,high,27.8,NA
FRH0,Bretagne,2,FR,2009,high,27.9,0.35971223021581966
FRH0,Bretagne,2,FR,2010,high,27.9,0
FRH0,Bretagne,2,FR,2011,high,30,7.526881720430113
FRH0,Bretagne,2,FR,2012,high,31.9,6.333333333333329
FRH0,Bretagne,2,FR,2013,high,33.3,4.388714733542316
FRH0,Bretagne,2,FR,2014,high,33.6,0.9009009009009137
FRH0,Bretagne,2,FR,2015,high,32.8,-2.380952380952394
FRH0,Bretagne,2,FR,2016,high,33.8,3.0487804878048785
FRH0,Bretagne,2,FR,2017,high,34,0.5917159763313694
FRH0,Bretagne,2,FR,2018,high,37.7,10.88235294117648
FRH0,Bretagne,2,FR,2019,high,37.7,0
FRH0,Bretagne,2,FR,2020,high,38.1,1.0610079575596778
FRH0,Bretagne,2,FR,2021,high,40.4,6.0367454068241395
FRH0,Bretagne,2,FR,2022,high,42.1,4.207920792079215
FRH0,Bretagne,2,FR,2023,high,40.2,-4.5130641330166235
FRH0,Bretagne,2,FR,2024,high,40.1,-0.24875621890547614
FRI,Nouvelle-Aquitaine,1,FR,2008,high,22.8,NA
FRI,Nouvelle-Aquitaine,1,FR,2009,high,25,9.649122807017541
FRI,Nouvelle-Aquitaine,1,FR,2010,high,26.5,6
FRI,Nouvelle-Aquitaine,1,FR,2011,high,25.1,-5.283018867924523
FRI,Nouvelle-Aquitaine,1,FR,2012,high,26.3,4.780876494023902
FRI,Nouvelle-Aquitaine,1,FR,2013,high,27.1,3.041825095057037
FRI,Nouvelle-Aquitaine,1,FR,2014,high,30.4,12.177121771217701
FRI,Nouvelle-Aquitaine,1,FR,2015,high,31,1.9736842105263206
FRI,Nouvelle-Aquitaine,1,FR,2016,high,30.9,-0.3225806451612949
FRI,Nouvelle-Aquitaine,1,FR,2017,high,32.6,5.501618122977356
FRI,Nouvelle-Aquitaine,1,FR,2018,high,33.7,3.37423312883436
FRI,Nouvelle-Aquitaine,1,FR,2019,high,33.8,0.2967359050444935
FRI,Nouvelle-Aquitaine,1,FR,2020,high,34.9,3.25443786982249
FRI,Nouvelle-Aquitaine,1,FR,2021,high,37.7,8.022922636103164
FRI,Nouvelle-Aquitaine,1,FR,2022,high,39.3,4.244031830238711
FRI,Nouvelle-Aquitaine,1,FR,2023,high,39.4,0.254452926208655
FRI,Nouvelle-Aquitaine,1,FR,2024,high,40.9,3.807106598984772
FRI1,Aquitaine,2,FR,2008,high,24.3,NA
FRI1,Aquitaine,2,FR,2009,high,27,11.111111111111107
FRI1,Aquitaine,2,FR,2010,high,29,7.4074074074074066
FRI1,Aquitaine,2,FR,2011,high,26.8,-7.5862068965517215
FRI1,Aquitaine,2,FR,2012,high,27.4,2.2388059701492455
FRI1,Aquitaine,2,FR,2013,high,29,5.839416058394166
FRI1,Aquitaine,2,FR,2014,high,32.8,13.103448275862059
FRI1,Aquitaine,2,FR,2015,high,33.5,2.1341463414634236
FRI1,Aquitaine,2,FR,2016,high,32.4,-3.283582089552243
FRI1,Aquitaine,2,FR,2017,high,34.4,6.17283950617284
FRI1,Aquitaine,2,FR,2018,high,35.4,2.9069767441860463
FRI1,Aquitaine,2,FR,2019,high,35.7,0.8474576271186562
FRI1,Aquitaine,2,FR,2020,high,36,0.8403361344537735
FRI1,Aquitaine,2,FR,2021,high,39.9,10.83333333333333
FRI1,Aquitaine,2,FR,2022,high,41.2,3.2581453634085324
FRI1,Aquitaine,2,FR,2023,high,40.5,-1.699029126213599
FRI1,Aquitaine,2,FR,2024,high,42,3.7037037037037033
FRI2,Limousin,2,FR,2008,high,22.9,NA
FRI2,Limousin,2,FR,2009,high,25.9,13.100436681222707
FRI2,Limousin,2,FR,2010,high,23.5,-9.266409266409262
FRI2,Limousin,2,FR,2011,high,25.3,7.6595744680851094
FRI2,Limousin,2,FR,2012,high,29.2,15.415019762845844
FRI2,Limousin,2,FR,2013,high,27.7,-5.136986301369864
FRI2,Limousin,2,FR,2014,high,29.4,6.137184115523463
FRI2,Limousin,2,FR,2015,high,30.1,2.3809523809523907
FRI2,Limousin,2,FR,2016,high,32.2,6.976744186046516
FRI2,Limousin,2,FR,2017,high,30.7,-4.658385093167713
FRI2,Limousin,2,FR,2018,high,32,4.23452768729642
FRI2,Limousin,2,FR,2019,high,33.1,3.4375000000000044
FRI2,Limousin,2,FR,2020,high,33.8,2.1148036253776303
FRI2,Limousin,2,FR,2021,high,37,9.467455621301784
FRI2,Limousin,2,FR,2022,high,35.9,-2.972972972972977
FRI2,Limousin,2,FR,2023,high,40.7,13.370473537604468
FRI2,Limousin,2,FR,2024,high,40.9,0.4914004914004809
FRI3,Poitou-Charentes,2,FR,2008,high,19.9,NA
FRI3,Poitou-Charentes,2,FR,2009,high,20.9,5.025125628140704
FRI3,Poitou-Charentes,2,FR,2010,high,23,10.047846889952162
FRI3,Poitou-Charentes,2,FR,2011,high,21.8,-5.217391304347823
FRI3,Poitou-Charentes,2,FR,2012,high,22.8,4.587155963302751
FRI3,Poitou-Charentes,2,FR,2013,high,23.2,1.7543859649122744
FRI3,Poitou-Charentes,2,FR,2014,high,26.1,12.500000000000009
FRI3,Poitou-Charentes,2,FR,2015,high,26.6,1.9157088122605364
FRI3,Poitou-Charentes,2,FR,2016,high,27.4,3.0075187969924704
FRI3,Poitou-Charentes,2,FR,2017,high,30,9.489051094890517
FRI3,Poitou-Charentes,2,FR,2018,high,30.9,2.9999999999999956
FRI3,Poitou-Charentes,2,FR,2019,high,30.4,-1.6181229773462786
FRI3,Poitou-Charentes,2,FR,2020,high,33.4,9.868421052631579
FRI3,Poitou-Charentes,2,FR,2021,high,33.3,-0.29940119760479467
FRI3,Poitou-Charentes,2,FR,2022,high,36.8,10.51051051051051
FRI3,Poitou-Charentes,2,FR,2023,high,36.6,-0.5434782608695536
FRI3,Poitou-Charentes,2,FR,2024,high,38.5,5.191256830601089
FRJ,Occitanie,1,FR,2008,high,28.8,NA
FRJ,Occitanie,1,FR,2009,high,30.4,5.555555555555548
FRJ,Occitanie,1,FR,2010,high,30.3,-0.3289473684210456
FRJ,Occitanie,1,FR,2011,high,31.6,4.290429042904292
FRJ,Occitanie,1,FR,2012,high,31.7,0.3164556962025249
FRJ,Occitanie,1,FR,2013,high,34.7,9.463722397476353
FRJ,Occitanie,1,FR,2014,high,36.9,6.340057636887596
FRJ,Occitanie,1,FR,2015,high,35.8,-2.981029810298107
FRJ,Occitanie,1,FR,2016,high,35.2,-1.6759776536312692
FRJ,Occitanie,1,FR,2017,high,35.5,0.8522727272727191
FRJ,Occitanie,1,FR,2018,high,39,9.859154929577464
FRJ,Occitanie,1,FR,2019,high,39.8,2.051282051282044
FRJ,Occitanie,1,FR,2020,high,42.2,6.03015075376886
FRJ,Occitanie,1,FR,2021,high,41.5,-1.658767772511855
FRJ,Occitanie,1,FR,2022,high,41.2,-0.7228915662650535
FRJ,Occitanie,1,FR,2023,high,42.8,3.883495145631054
FRJ,Occitanie,1,FR,2024,high,44.8,4.672897196261683
FRJ1,Languedoc-Roussillon,2,FR,2008,high,26.6,NA
FRJ1,Languedoc-Roussillon,2,FR,2009,high,26,-2.255639097744366
FRJ1,Languedoc-Roussillon,2,FR,2010,high,25.2,-3.0769230769230793
FRJ1,Languedoc-Roussillon,2,FR,2011,high,26.1,3.57142857142858
FRJ1,Languedoc-Roussillon,2,FR,2012,high,26.7,2.2988505747126355
FRJ1,Languedoc-Roussillon,2,FR,2013,high,29,8.61423220973783
FRJ1,Languedoc-Roussillon,2,FR,2014,high,31.4,8.275862068965512
FRJ1,Languedoc-Roussillon,2,FR,2015,high,31.3,-0.31847133757961105
FRJ1,Languedoc-Roussillon,2,FR,2016,high,31.2,-0.31948881789137834
FRJ1,Languedoc-Roussillon,2,FR,2017,high,32,2.5641025641025665
FRJ1,Languedoc-Roussillon,2,FR,2018,high,33.3,4.062499999999991
FRJ1,Languedoc-Roussillon,2,FR,2019,high,34.5,3.6036036036036125
FRJ1,Languedoc-Roussillon,2,FR,2020,high,41,18.84057971014493
FRJ1,Languedoc-Roussillon,2,FR,2021,high,38.4,-6.341463414634149
FRJ1,Languedoc-Roussillon,2,FR,2022,high,37.6,-2.083333333333326
FRJ1,Languedoc-Roussillon,2,FR,2023,high,38.9,3.457446808510631
FRJ1,Languedoc-Roussillon,2,FR,2024,high,41.6,6.940874035989725
FRJ2,Midi-Pyrénées,2,FR,2008,high,30.8,NA
FRJ2,Midi-Pyrénées,2,FR,2009,high,34.4,11.688311688311682
FRJ2,Midi-Pyrénées,2,FR,2010,high,34.9,1.4534883720930232
FRJ2,Midi-Pyrénées,2,FR,2011,high,36.6,4.871060171919779
FRJ2,Midi-Pyrénées,2,FR,2012,high,36.1,-1.366120218579235
FRJ2,Midi-Pyrénées,2,FR,2013,high,39.9,10.526315789473676
FRJ2,Midi-Pyrénées,2,FR,2014,high,41.8,4.761904761904758
FRJ2,Midi-Pyrénées,2,FR,2015,high,39.9,-4.545454545454542
FRJ2,Midi-Pyrénées,2,FR,2016,high,38.8,-2.7568922305764447
FRJ2,Midi-Pyrénées,2,FR,2017,high,38.6,-0.5154639175257623
FRJ2,Midi-Pyrénées,2,FR,2018,high,44.2,14.507772020725392
FRJ2,Midi-Pyrénées,2,FR,2019,high,44.6,0.9049773755656076
FRJ2,Midi-Pyrénées,2,FR,2020,high,43.3,-2.914798206278036
FRJ2,Midi-Pyrénées,2,FR,2021,high,44.2,2.078521939953824
FRJ2,Midi-Pyrénées,2,FR,2022,high,44.3,0.22624434389138987
FRJ2,Midi-Pyrénées,2,FR,2023,high,46.3,4.514672686230249
FRJ2,Midi-Pyrénées,2,FR,2024,high,47.8,3.2397408207343417
FRK,Auvergne-Rhône-Alpes,1,FR,2008,high,28.1,NA
FRK,Auvergne-Rhône-Alpes,1,FR,2009,high,28.3,0.7117437722419904
FRK,Auvergne-Rhône-Alpes,1,FR,2010,high,27.9,-1.4134275618374632
FRK,Auvergne-Rhône-Alpes,1,FR,2011,high,29,3.942652329749109
FRK,Auvergne-Rhône-Alpes,1,FR,2012,high,31.2,7.5862068965517215
FRK,Auvergne-Rhône-Alpes,1,FR,2013,high,33,5.769230769230772
FRK,Auvergne-Rhône-Alpes,1,FR,2014,high,35.1,6.363636363636369
FRK,Auvergne-Rhône-Alpes,1,FR,2015,high,36,2.56410256410256
FRK,Auvergne-Rhône-Alpes,1,FR,2016,high,37.1,3.05555555555556
FRK,Auvergne-Rhône-Alpes,1,FR,2017,high,37.3,0.539083557951471
FRK,Auvergne-Rhône-Alpes,1,FR,2018,high,38.8,4.021447721179626
FRK,Auvergne-Rhône-Alpes,1,FR,2019,high,40,3.0927835051546464
FRK,Auvergne-Rhône-Alpes,1,FR,2020,high,41.2,3.000000000000007
FRK,Auvergne-Rhône-Alpes,1,FR,2021,high,42.3,2.669902912621345
FRK,Auvergne-Rhône-Alpes,1,FR,2022,high,44.7,5.6737588652482405
FRK,Auvergne-Rhône-Alpes,1,FR,2023,high,45,0.671140939597309
FRK,Auvergne-Rhône-Alpes,1,FR,2024,high,45.3,0.6666666666666604
FRK1,Auvergne,2,FR,2008,high,26.8,NA
FRK1,Auvergne,2,FR,2009,high,28.2,5.22388059701492
FRK1,Auvergne,2,FR,2010,high,24.7,-12.411347517730496
