geo,year,unemployment_rate,geo_label,NUTS_level,Country_code,unemployment_rate_pct_diff
BE,2014,14.1,Belgium,0,BE,-5.369127516778528
BE,2015,14.4,Belgium,0,BE,2.1276595744680904
BE,2016,13,Belgium,0,BE,-9.722222222222223
BE,2017,12.6,Belgium,0,BE,-3.0769230769230793
BE,2018,12,Belgium,0,BE,-4.761904761904759
BE,2019,11.8,Belgium,0,BE,-1.6666666666666607
BE,2020,12,Belgium,0,BE,1.6949152542372818
BE,2021,10.1,Belgium,0,BE,-15.833333333333336
BE,2022,9.2,Belgium,0,BE,-8.910891089108915
BE,2023,9.6,Belgium,0,BE,4.347826086956526
BE,2024,9.9,Belgium,0,BE,3.1250000000000075
BE1,2000,25.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,NA
BE1,2001,26.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,3.529411764705877
BE1,2002,24.7,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-6.439393939393937
BE1,2003,26.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,5.668016194331993
BE1,2004,22.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-13.409961685823754
BE1,2005,21.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-4.424778761061947
BE1,2006,21.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-0.4629629629629695
BE1,2007,22.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,4.651162790697675
BE1,2008,20.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-10.222222222222225
BE1,2009,18.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-8.415841584158413
BE1,2010,21.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,15.675675675675668
BE1,2011,23.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,8.878504672897208
BE1,2012,22.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-5.150214592274675
BE1,2013,24.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,9.954751131221716
BE1,2014,20.9,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-13.991769547325111
BE1,2015,20.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-1.4354066985645797
BE1,2016,20.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-0.9708737864077808
BE1,2017,19.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-6.37254901960783
BE1,2018,19.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,2.0942408376963275
BE1,2019,18.7,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-4.102564102564106
BE1,2020,17.9,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-4.278074866310164
BE1,2021,14.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-20.670391061452513
BE1,2022,13.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-5.633802816901401
BE1,2023,11.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,-16.4179104477612
BE1,2024,13.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,1,BE,16.96428571428572
BE10,2000,25.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,NA
BE10,2001,26.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,3.529411764705877
BE10,2002,24.7,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-6.439393939393937
BE10,2003,26.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,5.668016194331993
BE10,2004,22.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-13.409961685823754
BE10,2005,21.6,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-4.424778761061947
BE10,2006,21.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-0.4629629629629695
BE10,2007,22.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,4.651162790697675
BE10,2008,20.2,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-10.222222222222225
BE10,2009,18.5,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-8.415841584158413
BE10,2010,21.4,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,15.675675675675668
BE10,2011,23.3,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,8.878504672897208
BE10,2012,22.1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2,BE,-5.150214592274675
