geo,year,unemployment_pct,geo_label,NUTS_level,Country_code,unemployment_diff
DEB3,2022,3.6,Rheinhessen-Pfalz,2,DE,-14.285714285714288
DEB3,2023,3.6,Rheinhessen-Pfalz,2,DE,0
DEB3,2024,3.2,Rheinhessen-Pfalz,2,DE,-11.111111111111107
DEC0,2013,6,Saarland,2,DE,NA
DEC0,2014,5.8,Saarland,2,DE,-3.333333333333336
DEC0,2015,5.6,Saarland,2,DE,-3.448275862068969
DEC0,2016,4.9,Saarland,2,DE,-12.499999999999988
DEC0,2017,4.5,Saarland,2,DE,-8.163265306122454
DEC0,2018,3.6,Saarland,2,DE,-20
DEC0,2019,3.7,Saarland,2,DE,2.77777777777778
DEC0,2020,NA,Saarland,2,DE,NA
DEC0,2021,3.2,Saarland,2,DE,NA
DEC0,2022,3.7,Saarland,2,DE,15.625
DEC0,2023,3.4,Saarland,2,DE,-8.108108108108116
DEC0,2024,3.6,Saarland,2,DE,5.882352941176476
DED2,2013,7.3,Dresden,2,DE,NA
DED2,2014,7.4,Dresden,2,DE,1.3698630136986376
DED2,2015,6.2,Dresden,2,DE,-16.216216216216218
DED2,2016,4.9,Dresden,2,DE,-20.967741935483865
DED2,2017,4.3,Dresden,2,DE,-12.244897959183684
DED2,2018,4.1,Dresden,2,DE,-4.651162790697678
DED2,2019,3.5,Dresden,2,DE,-14.634146341463408
DED2,2020,3.6,Dresden,2,DE,2.85714285714286
DED2,2021,3.4,Dresden,2,DE,-5.55555555555556
DED2,2022,3.4,Dresden,2,DE,0
DED2,2023,2.4,Dresden,2,DE,-29.411764705882355
DED2,2024,3.4,Dresden,2,DE,41.66666666666667
DED4,2013,7.4,Chemnitz,2,DE,NA
DED4,2014,6.4,Chemnitz,2,DE,-13.513513513513512
DED4,2015,5.4,Chemnitz,2,DE,-15.625
DED4,2016,4.4,Chemnitz,2,DE,-18.51851851851852
DED4,2017,4.1,Chemnitz,2,DE,-6.818181818181834
DED4,2018,3.4,Chemnitz,2,DE,-17.073170731707314
DED4,2019,3.7,Chemnitz,2,DE,8.823529411764714
DED4,2020,NA,Chemnitz,2,DE,NA
DED4,2021,2.3,Chemnitz,2,DE,NA
DED4,2022,2.3,Chemnitz,2,DE,0
DED4,2023,3.3,Chemnitz,2,DE,43.47826086956522
DED4,2024,3.1,Chemnitz,2,DE,-6.0606060606060534
DED5,2013,9.2,Leipzig,2,DE,NA
DED5,2014,8.3,Leipzig,2,DE,-9.78260869565216
DED5,2015,7.7,Leipzig,2,DE,-7.228915662650608
DED5,2016,6,Leipzig,2,DE,-22.07792207792208
DED5,2017,5.1,Leipzig,2,DE,-15.000000000000005
DED5,2018,4.8,Leipzig,2,DE,-5.8823529411764675
DED5,2019,4.7,Leipzig,2,DE,-2.083333333333326
DED5,2020,5.3,Leipzig,2,DE,12.765957446808502
DED5,2021,4.5,Leipzig,2,DE,-15.094339622641506
DED5,2022,3.5,Leipzig,2,DE,-22.22222222222222
DED5,2023,4.5,Leipzig,2,DE,28.57142857142857
DED5,2024,5.2,Leipzig,2,DE,15.555555555555559
DEE0,2013,9.1,Sachsen-Anhalt,2,DE,NA
DEE0,2014,8.8,Sachsen-Anhalt,2,DE,-3.296703296703285
DEE0,2015,8,Sachsen-Anhalt,2,DE,-9.090909090909099
DEE0,2016,7.4,Sachsen-Anhalt,2,DE,-7.499999999999996
