geo,NUTS_label,NUTS_label_el,NUTS_level,year,GFCF_GHI,GFCF_Total,GFCF_pct,GFCF_pct_diff
EL62,Ionia Nisia,Ιόνια Νησιά,2,2012,40.2652539734967,429.1155576884836,9.383312548814008,-31.028812815669866
EL62,Ionia Nisia,Ιόνια Νησιά,2,2013,30.69734625153956,310.0424511669349,9.901013921158595,-23.762193896144066
EL62,Ionia Nisia,Ιόνια Νησιά,2,2014,103.66800885946506,354.5663951275631,29.23796791914479,237.71000271486272
EL62,Ionia Nisia,Ιόνια Νησιά,2,2015,102.31555316348472,399.58391388401935,25.605523547973,-1.3046027514753966
EL62,Ionia Nisia,Ιόνια Νησιά,2,2016,114.37552637220472,395.01232473092574,28.954926014046514,11.787038075677495
EL62,Ionia Nisia,Ιόνια Νησιά,2,2017,148.98317160144188,478.7407598881129,31.119800962061582,30.25791122186034
EL62,Ionia Nisia,Ιόνια Νησιά,2,2018,167.68592743389016,505.04970522591606,33.20186621213487,12.553602954890556
EL62,Ionia Nisia,Ιόνια Νησιά,2,2019,155.73809764167066,422.3190394934489,36.87688289603778,-7.125123720909676
EL62,Ionia Nisia,Ιόνια Νησιά,2,2020,67.03931367150615,380.63713050627456,17.612394666368747,-56.95381240256751
EL62,Ionia Nisia,Ιόνια Νησιά,2,2021,92.8736581298335,503.4654991850063,18.44687635601136,38.53611119128711
EL62,Ionia Nisia,Ιόνια Νησιά,2,2022,120.48586314492896,658.7902268780123,18.28895727793473,29.73093293740486
EL54,Ipeiros,Ήπειρος,2,2000,35.5628469209149,808.2687758495518,4.399878850143091,NA
EL54,Ipeiros,Ήπειρος,2,2001,36.818226555809,854.5701119356683,4.308391557529766,3.5300313208496115
EL54,Ipeiros,Ήπειρος,2,2002,58.82884669398155,950.5589977871662,6.1888685321932595,59.78185859878096
EL54,Ipeiros,Ήπειρος,2,2003,61.535866824895635,1051.4900276034225,5.852253964324269,4.601518273842043
EL54,Ipeiros,Ήπειρος,2,2004,54.513874407715186,1279.8937150290876,4.259250105503977,-11.411218821637782
EL54,Ipeiros,Ήπειρος,2,2005,77.19758491316625,1199.1711645598505,6.437578487096229,41.61089401901089
EL54,Ipeiros,Ήπειρος,2,2006,47.20131332144113,1401.8613280303678,3.367045825264297,-38.85648964985844
EL54,Ipeiros,Ήπειρος,2,2007,74.34053758964492,1571.7502150380162,4.72979337800484,57.49675667578479
EL54,Ipeiros,Ήπειρος,2,2008,71.85347280575938,1741.602899094513,4.125709301650631,-3.345502823256383
